RO;PDT;123;ACIR MARCOS GURGACZ;ACIR GURGACZ;Senador;Apto;Deferido
PR;PSDB;456;ALVARO FERNANDES DIAS;ALVARO DIAS;Senador;Apto;Deferido
MG;PSDB;456;ANTONIO AUGUSTO JUNHO ANASTASIA;ANTONIO ANASTASIA;Senador;Apto;Deferido
SC;PMDB;155;D�RIO ELIAS BERGER;D�RIO;Senador;Apto;Deferido
AP;DEM;255;DAVID SAMUEL ALCOLUMBRE TOBELEM;DAVI ALCOLUMBRE;Senador;Apto;Deferido
PI;PTB;141;ELMANO F�RRER DE ALMEIDA;ELMANO - O VE�N TRABALHADOR;Senador;Apto;Deferido
AL;PTB;144;FERNANDO AFFONSO COLLOR DE MELLO;COLLOR;Senador;Apto;Deferido
PE;PSB;400;FERNANDO BEZERRA DE SOUZA COELHO;FERNANDO BEZERRA COELHO;Senador;Apto;Deferido
AC;PP;111;GLADSON DE LIMA CAMELI;GLADSON CAMELI;Senador;Apto;Deferido
DF;PDT;123;JOS� ANTONIO MACHADO REGUFFE;REGUFFE;Senador;Apto;Deferido
SP;PSDB;456;JOS� SERRA;JOS� SERRA;Senador;Apto;Deferido
PB;PMDB;155;JOS� TARGINO MARANH�O;JOSE MARANH�O;Senador;Apto;Deferido
TO;PMDB;155;KATIA REGINA DE ABREU;KATIA ABREU;Senador;Apto;Deferido
RS;PDT;123;LASIER COSTA MARTINS;LASIER MARTINS;Senador;Apto;Deferido
RN;PT;131;MARIA DE F�TIMA BEZERRA;F�TIMA;Senador;Apto;Deferido
SE;DEM;251;MARIA DO CARMO DO NASCIMENTO ALVES;MARIA DO CARMO;Senador;Apto;Deferido
AM;PSD;555;OMAR JOSE ABDEL AZIZ;OMAR AZIZ;Senador;Apto;Deferido
BA;PSD;555;OTTO ROBERTO MENDONCA DE ALENCAR;OTTO ALENCAR;Senador;Apto;Deferido
PA;PT;131;PAULO ROBERTO GALVAO DA ROCHA;PAULO ROCHA;Senador;Apto;Deferido
MA;PSB;400;ROBERTO COELHO ROCHA;ROBERTO ROCHA;Senador;Apto;Deferido
RJ;PSB;400;ROM�RIO DE SOUZA FARIA;ROM�RIO;Senador;Apto;Deferido
GO;DEM;251;RONALDO RAMOS CAIADO;RONALDO CAIADO;Senador;Apto;Deferido
ES;PMDB;156;ROSILDA DE FREITAS;ROSE DE FREITAS;Senador;Apto;Deferido
MS;PMDB;151;SIMONE NASSAR TEBET;SIMONE TEBET;Senador;Apto;Deferido
CE;PSDB;456;TASSO RIBEIRO JEREISSATI;TASSO JEREISSATI;Senador;Apto;Deferido
RR;PDT;123;TELM�RIO MOTA DE OLIVEIRA;TELM�RIO MOTA;Senador;Apto;Deferido
MT;PR;222;WELLINGTON ANTONIO FAGUNDES;WELLINGTON FAGUNDES;Senador;Apto;Deferido